Original Index,Values,Ticker,Forward Return,Monday Datetime,Monday First Hour Close,Friday Last Hour Open
38,101.0,DPZ,6.016748301469433,2023-06-26 14:30:00,316.45,335.49
58,119.0,ISRG,5.931837791199309,2023-06-26 14:30:00,324.52,343.77
110,95.0,TXN,5.893413244021389,2023-06-26 14:30:00,170.19,180.22
43,116.0,FDX,5.638333897731117,2023-06-26 14:30:00,236.24,249.56
45,35.0,GM,5.585831062670291,2023-06-26 14:30:00,36.7,38.75
13,40.0,BABA,7.023725628376795,2023-07-03 14:30:00,85.14,91.12
38,107.0,DPZ,2.987581738556596,2023-07-03 14:30:00,333.38,343.34
119,93.0,WBA,2.879213483146068,2023-07-03 14:30:00,28.48,29.3
45,105.0,GM,2.0822622107969213,2023-07-03 14:30:00,38.9,39.71
43,122.0,FDX,2.0073657371807876,2023-07-03 14:30:00,247.09,252.05
77,114.0,NFLX,1.941545849108867,2023-07-03 14:30:00,433.16,441.57
25,83.0,CINF,1.7415498763396515,2023-07-03 14:30:00,97.04,98.73
89,66.0,PRU,1.5531795160382778,2023-07-03 14:30:00,88.85,90.23
71,125.0,META,1.4877348372141341,2023-07-03 14:30:00,289.03,293.33
79,55.0,NVDA,1.3653483992467172,2023-07-03 14:30:00,42.48,43.06
93,126.0,RNG,15.826034430685601,2023-07-10 14:30:00,33.11,38.35
92,124.0,ROKU,13.886745872550533,2023-07-10 14:30:00,64.81,73.81
97,98.0,SHOP,13.097781429745261,2023-07-10 14:30:00,60.85,68.82
99,93.0,SNOW,11.020682902949467,2023-07-10 14:30:00,163.42,181.43
34,105.0,DDOG,11.001642036124794,2023-07-10 14:30:00,97.44,108.16
102,110.0,SQ,10.841066430991308,2023-07-10 14:30:00,67.89,75.25
38,71.0,DPZ,10.314810057938747,2023-07-10 14:30:00,350.37,386.51
29,115.0,CRM,9.340344168260048,2023-07-10 14:30:00,209.2,228.74
76,97.0,NET,9.119290174170223,2023-07-10 14:30:00,60.86,66.41
86,74.0,PLTR,8.970198873250656,2023-07-10 14:30:00,15.0699,16.4217
96,96.0,SCHW,14.117847411444155,2023-07-17 14:30:00,58.72,67.01
116,42.0,USB,9.247737556561095,2023-07-17 14:30:00,35.36,38.63
